NUMTAR;DOCFEC;DOCSER;DOCNUM;DESTAR;IMPOBRA;IMPMAT;MARCA
01;29/07/2011;21;000916;VTA. DE REPUESTOS;0;23,82;N
01;29/07/2011;21;000917;VTA. DE REPUESTOS;0;4,5;N
01;29/07/2011;22;000356;VTA. DE REPUESTOS;0;0,78;N
01;29/07/2011;21;000918;VTA. DE REPUESTOS;0;323,1;N
01;01/08/2011;22;000357;VTA. DE REPUESTOS;0;15;N
01;01/08/2011;22;000358;VTA. DE REPUESTOS;0;62,6;N
01;01/08/2011;22;000359;VTA. DE REPUESTOS;0;3;N
01;01/08/2011;23;000265;VTA. DE REPUESTOS;0;505,2;N
01;01/08/2011;22;000360;VTA. DE REPUESTOS;0;5;N
01;01/08/2011;23;000266;VTA. DE REPUESTOS;0;231,26;N
01;01/08/2011;22;000361;VTA. DE REPUESTOS;0;17,18;N
01;01/08/2011;21;000919;VTA. DE REPUESTOS;0;76,73;N
01;01/08/2011;24;000263;VTA. DE REPUESTOS;0;220,69;N
01;01/08/2011;24;000264;VTA. DE REPUESTOS;0;64,98;N
01;01/08/2011;24;000265;VTA. DE REPUESTOS;0;118,25;N
01;02/08/2011;22;000362;VTA. DE REPUESTOS;0;12,42;N
01;02/08/2011;23;000268;VTA. DE REPUESTOS;0;44,25;N
01;02/08/2011;21;000920;VTA. DE REPUESTOS;0;32,8;N
01;02/08/2011;21;000921;VTA. DE REPUESTOS;0;6,64;N
01;02/08/2011;21;000922;VTA. DE REPUESTOS;0;1,73;N
01;02/08/2011;21;000923;VTA. DE REPUESTOS;0;7,14;N
01;02/08/2011;21;000925;VTA. DE REPUESTOS;0;12,75;N
01;02/08/2011;24;000266;VTA. DE REPUESTOS;0;7,18;N
01;02/08/2011;21;000927;VTA. DE REPUESTOS;0;3,02;N
01;02/08/2011;22;000364;VTA. DE REPUESTOS;0;5,12;N
01;02/08/2011;21;000928;VTA. DE REPUESTOS;0;42,5;N
01;02/08/2011;24;000267;VTA. DE REPUESTOS;0;35,87;N
01;02/08/2011;23;000269;VTA. DE REPUESTOS;0;30,83;N
01;02/08/2011;21;000929;VTA. DE REPUESTOS;0;122,89;N
01;02/08/2011;21;000930;VTA. DE REPUESTOS;0;18,98;N
01;03/08/2011;21;000931;VTA. DE REPUESTOS;0;18,66;N
01;03/08/2011;24;000268;VTA. DE REPUESTOS;0;504,79;N
01;03/08/2011;24;000269;VTA. DE REPUESTOS;0;247,25;N
01;03/08/2011;24;000270;VTA. DE REPUESTOS;0;26,44;N
01;03/08/2011;22;000366;VTA. DE REPUESTOS;0;52;N
01;03/08/2011;21;000933;VTA. DE REPUESTOS;0;106,05;N
01;03/08/2011;21;000934;VTA. DE REPUESTOS;0;16,31;N
01;03/08/2011;21;000935;VTA. DE REPUESTOS;0;11,68;N
01;04/08/2011;21;000936;VTA. DE REPUESTOS;0;35,6;N
01;04/08/2011;21;000937;VTA. DE REPUESTOS;0;14,58;N
01;04/08/2011;21;000938;VTA. DE REPUESTOS;0;9,52;N
01;04/08/2011;23;000270;VTA. DE REPUESTOS;0;105,49;N
01;04/08/2011;21;000939;VTA. DE REPUESTOS;0;80,95;N
01;04/08/2011;21;000940;VTA. DE REPUESTOS;0;70,08;N
01;05/08/2011;22;000367;VTA. DE REPUESTOS;0;0,49;N
01;05/08/2011;21;000941;VTA. DE REPUESTOS;0;11,74;N
01;05/08/2011;22;000368;VTA. DE REPUESTOS;0;3,61;N
01;05/08/2011;21;000942;VTA. DE REPUESTOS;0;4,26;N
01;05/08/2011;22;000369;VTA. DE REPUESTOS;0;15,48;N
01;05/08/2011;22;000370;VTA. DE REPUESTOS;0;44,94;N
01;05/08/2011;21;000943;VTA. DE REPUESTOS;0;36,09;N
01;05/08/2011;21;000944;VTA. DE REPUESTOS;0;34,73;N
01;05/08/2011;25;000025;VTA. DE REPUESTOS;0;63,9;N
01;12/08/2011;21;000945;VTA. DE REPUESTOS;0;81,08;N
01;08/08/2011;22;000371;VTA. DE REPUESTOS;0;134,52;N
01;08/08/2011;21;000946;VTA. DE REPUESTOS;0;35,6;N
01;08/08/2011;22;000372;VTA. DE REPUESTOS;0;17,95;N
01;08/08/2011;22;000373;VTA. DE REPUESTOS;0;134,52;N
01;08/08/2011;21;000947;VTA. DE REPUESTOS;0;78,12;N
01;08/08/2011;21;000948;VTA. DE REPUESTOS;0;8,04;N
01;08/08/2011;21;000949;VTA. DE REPUESTOS;0;59,08;N
01;08/08/2011;23;000271;VTA. DE REPUESTOS;0;725,39;N
01;08/08/2011;22;000375;VTA. DE REPUESTOS;0;8,24;N
01;09/08/2011;22;000376;VTA. DE REPUESTOS;0;16,34;N
01;09/08/2011;21;000950;VTA. DE REPUESTOS;0;24;N
01;09/08/2011;22;000377;VTA. DE REPUESTOS;0;50;N
01;09/08/2011;21;000951;VTA. DE REPUESTOS;0;26,18;N
01;08/08/2011;24;000271;VTA. DE REPUESTOS;0;4103,72;N
01;09/08/2011;24;000272;VTA. DE REPUESTOS;0;7,31;N
01;09/08/2011;21;000952;VTA. DE REPUESTOS;0;74,6;N
01;09/08/2011;23;000272;VTA. DE REPUESTOS;0;231,22;N
01;09/08/2011;23;000273;VTA. DE REPUESTOS;0;480,84;N
01;09/08/2011;23;000274;VTA. DE REPUESTOS;0;58,48;N
01;09/08/2011;22;000378;VTA. DE REPUESTOS;0;11,52;N
01;09/08/2011;21;000953;VTA. DE REPUESTOS;0;15,03;N
01;09/08/2011;21;000954;VTA. DE REPUESTOS;0;57,24;N
01;10/08/2011;21;000955;VTA. DE REPUESTOS;0;23,22;N
01;10/08/2011;21;000956;VTA. DE REPUESTOS;0;424,36;N
01;10/08/2011;24;000273;VTA. DE REPUESTOS;0;36,07;N
01;10/08/2011;21;000957;VTA. DE REPUESTOS;0;13,71;N
01;10/08/2011;21;000958;VTA. DE REPUESTOS;0;32,12;N
01;10/08/2011;21;000959;VTA. DE REPUESTOS;0;13,4;N
01;10/08/2011;23;000275;VTA. DE REPUESTOS;0;118,55;N
01;12/09/2011;21;000960;VTA. DE REPUESTOS;0;57,31;N
01;10/08/2011;24;000274;VTA. DE REPUESTOS;0;1,81;N
01;10/08/2011;21;000961;VTA. DE REPUESTOS;0;10,49;N
01;10/08/2011;21;000962;VTA. DE REPUESTOS;0;5,1;N
01;11/08/2011;22;000379;VTA. DE REPUESTOS;0;5,95;N
01;11/08/2011;21;000963;VTA. DE REPUESTOS;0;33,75;N
01;11/08/2011;22;000380;VTA. DE REPUESTOS;0;1,68;N
01;11/08/2011;21;000964;VTA. DE REPUESTOS;0;21,45;N
01;11/08/2011;24;000275;VTA. DE REPUESTOS;0;13,5;N
01;11/08/2011;21;000965;VTA. DE REPUESTOS;0;11,74;N
01;11/08/2011;23;000276;VTA. DE REPUESTOS;0;33,03;N
01;11/08/2011;21;000966;VTA. DE REPUESTOS;0;22,3;N
01;11/08/2011;22;000381;VTA. DE REPUESTOS;0;7,84;N
01;11/08/2011;21;000968;VTA. DE REPUESTOS;0;220,47;N
01;11/08/2011;21;000969;VTA. DE REPUESTOS;0;7,95;N
01;11/08/2011;22;000382;VTA. DE REPUESTOS;0;1,63;N
01;11/08/2011;23;000277;VTA. DE REPUESTOS;0;1095,12;N
01;11/08/2011;22;000383;VTA. DE REPUESTOS;0;48,2;N
01;11/08/2011;22;000384;VTA. DE REPUESTOS;0;95;N
01;11/08/2011;22;000385;VTA. DE REPUESTOS;0;46,55;N
01;11/08/2011;21;000970;VTA. DE REPUESTOS;0;172,54;N
01;12/08/2011;21;000971;VTA. DE REPUESTOS;0;8,66;N
01;12/08/2011;21;000972;VTA. DE REPUESTOS;0;195,15;N
01;12/08/2011;22;000387;VTA. DE REPUESTOS;0;72;N
01;12/08/2011;21;000973;VTA. DE REPUESTOS;0;84;N
01;12/08/2011;21;000974;VTA. DE REPUESTOS;0;44,2;N
01;12/08/2011;21;000975;VTA. DE REPUESTOS;0;80,75;N
01;12/08/2011;22;000388;VTA. DE REPUESTOS;0;73,15;N
01;16/08/2011;22;000389;VTA. DE REPUESTOS;0;5,65;N
01;16/08/2011;24;000276;VTA. DE REPUESTOS;0;99,65;N
