NUMTAR;CODALM;CODPDT;DESPDT;DOCFEC;DOCSER;DOCNUM;CANFACT;CANREAL;DTOMAT;CODMOD;PORIMP;PORREC;PVP;LINMATE;MARCA
01;01;4738-IH9480;FILTRO HIDRAULICO;29/09/2008;83;000092;1;1;20;01;16;4;33,27;00005;N
01;01;4738-S7111NC;FILTRO GASOIL;29/09/2008;83;000092;1;1;20;01;16;4;3,65;00010;N
01;01;4738-12230;FILTRO AIRE LINDE;29/09/2008;83;000092;1;1;20;01;16;4;14,53;00015;N
01;01;4738-IH1006;FILTRO HIDRAULICO;29/09/2008;83;000092;1;1;20;01;16;4;40,6;00020;N
01;01;4738-BT216;FILTRO ACEITE MOTOR;29/09/2008;83;000092;1;1;20;01;16;4;8,61;00025;N
01;01;4903-TS1623;MOTOR ARRANQUE;29/09/2008;81;000987;1;1;0;01;16;4;250;00005;N
01;01;4900-MJ05;EQUIPO RADIO CONTROL;30/09/2008;83;000093;1;1;0;01;16;4;1972,5;00005;N
01;01;4929-4943049;BOMBA TRANSFERENCIA;30/09/2008;83;000094;1;1;0;01;16;4;187,11;00005;N
01;01;3.50X48;TORICAS NBR;30/09/2008;81;000988;6;6;0;01;16;4;1,732;00005;N
01;01;2.62X18.72;TORICA NITRILO;30/09/2008;81;000988;20;20;0;01;16;4;1;00010;N
01;01;09PDI6;UNION TUBO MINI;30/09/2008;81;000988;20;20;0;01;16;4;2,3;00015;N
01;01;09PCI4;RACOR CODO INTERMEDIO;30/09/2008;81;000988;20;20;0;01;16;4;2,25;00020;N
01;01;29910-04-14;ORIENTABLE 1/4;30/09/2008;81;000989;2;2;15;01;16;4;2,57;00005;N
01;01;3300-04;CASQUILLO R1AT 1/4;30/09/2008;81;000989;2;2;15;01;16;4;0,61;00010;N
