CODOPER;DOCFEC;DOCSER;DOCNUM;DESCOP;HORACAN;DTOOBR;CODMOD;PORIMP;PORREC;PRETAR;NUMTAR;LINOBRA
101;20/02/2006;60;000003;DESMONTAR BOMBA TRANSMSION SUSTITUIR KIT JUNTAS Y MONTAR.;3;0;01;16;4;26,5;02;005
101;20/02/2006;60;000003;DESMONTAR ENFRIADOR TRANSMISION DEL MOTOR, COMPROBACION Y SUSTITUCION DEL MISMO.;4;0;01;16;4;26,5;03;005
101;20/02/2006;60;000003;DESMONTAR BOMBA HIDRAULICO PRINCIPAL, SUSTITUIR KIT DE REPARACION, MONTAJE Y COLOCACION.;3;0;01;16;4;26,5;04;005
101;20/02/2006;60;000003;LIMPIAR CIRCUITO REFRIGERAC. CON PRODUCTO ESPECIAL;6;0;01;16;4;26,5;05;005
101;20/02/2006;60;000003;CAMBIO DE ACEITE Y FILTROS 2000 H.;6;0;01;16;4;26,5;06;005
800;16/03/2006;60;000005;DESPLAZAMIENTO A GUARROMAN PARA INSTALACION DE MARTILLO;2,5;0;01;16;4;26,5;01;005
101;29/03/2006;60;000007;SACAR MOTOR DE MAQUINA, DESM. INSTALAC. ELECTRICA, DESPIECE DE MOTOR, LIMPIEZA, REPARAR EN BANCO, COLOCACION EN MAQUINA Y AJUSTE.;75;0;01;16;4;23;01;005
101;29/03/2006;60;000007;DESMONTAR RADIADOR DE MAQUINA REPARACION , LIMPIEZA DEL MISMO Y MONTAJE.;15;0;01;16;4;23;04;005
101;07/04/2006;60;000008;SACAR TRANSMISION DE MAQUINA, PARA REPAR EN TALLER  Y COLOCAR UNA VEZ REPARADA.;174;0;01;16;4;26,5;01;005
101;01/08/2006;60;000012;DESPIECE DE MARTILLO Y ACUMULADOR DE NITROGENO. SUSTITUIR COMPONENES DE DEFECTUSOS Y MONTAJE DEL MISMO;16;0;01;16;4;23;01;005
101;14/11/2006;60;000023;MANO DE OBRA;100;0;01;16;4;23;01;005
101;14/11/2006;60;000024;REPARACION DE MOTOR;100;0;01;16;4;23;01;005
101;23/04/2007;71;000006;QUITAR CADENAS Y CARROS, RODILLOS INFERIORES Y SECTORES DE RUEDA CABILLA, SUSTITUIR TEJAS A CADENA NUEVA, SECTORES A RUEDA DE CABILLA, GUARDACADENAS, MONTAJE Y COLOCACION EN TRACTOR;65;0;01;16;4;24,5;01;005
800;06/03/2008;81;000004;DESPLAZAMIENTO A FABRICA PARA REPARAR AGUILON;32;0;01;16;4;28;01;005
101;31/03/2008;81;000006;REPARACION DE MOTOR EN TALLER;60;0;01;16;4;28;01;005
800;15/04/2008;81;000014;DESMONTAR AGUILON DE LA MAQUINA, TRASLADO AL TALLER, LIMPIEZA DEL MISMO Y TIRANTA DE VOLTEO, ENDEREZAR EN PRENSA, TRASLADO A FABRICA Y COLOCACION EN MAQUINA;1;0;01;16;4;2900;01;005
800;23/04/2008;81;000015;DESPLAZAMIENTO A PLANTA , DESMOTAR MOTOR DE MAQUINA;32;0;01;16;4;28;01;005
101;23/04/2008;81;000015;DESPIECE DE MOTOR EN TALLER;15;0;01;16;4;28;02;005
101;09/05/2008;81;000020;MANO DE OBRA;175;0;01;16;4;28;01;005
