CODALM;CODPDT;LOCALIZ;SISVAL;PVP1;PVP2;PVP3;PVP4;PVP5;PRESTA;PREULT;PREMED;CANEXI;CODPRV;STOCKMIN;STOCKMAX
01;8C9134;01040103;M;0;0;0;0;0;0;0;0;0;3;0;0
01;1048522;01030603;M;0;0;0;0;0;0;0;0;0;3;0;0
01;6K8328;;M;19,93;0;19,93;0;0;0;0;0;0;2;0;0
01;6K8329;;M;30,27;0;30,27;0;0;0;0;0;0;2;0;0
01;3K1852;01020401;M;9,15;0;8,5;0;0;0;0;6,13;0;2;0;0
01;716098;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;1R0720;;M;15,75854;13,13211;0;0;0;0;0;0;0;3;0;0
01;7T6100;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;89792;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;6L7155;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;5P2669;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;102571;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;6F7060;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;102645;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9F5975;010303;M;0,324;0,324;0,324;0,324;0,324;0;0,162;0,15987;76;3;0;0
01;7J2039;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4N7555;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;1U0547;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9T0705;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;7S0687;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9S5747;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;2S3966;;M;45;0;45;0;0;0;0;0;0;2;0;0
01;1P1034;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;6S0428;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;3W6969;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4T0318;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;2S4015;;M;30,15;0;30,15;0;28,73;0;0;0;0;2;0;0
01;933833;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;354293;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;1W5094;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;2G5459;07060303;M;8,17376;0;0;0;0;0;0;4,12;2;2;0;0
01;5J0601;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;6W5796;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;6J0369;;M;0;0;0;0;0;0;0;0;0;2;0;0
01;7E4656;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;8M0924;;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4644306418;090504;M;0;0;0;0;0;0;0;0;0;3;0;0
01;6F4868;;M;2,0795;0;0;0;0;0;0;0;0;2;0;0
01;8J441;;M;326,95058;0;0;0;0;0;0;0;0;2;0;0
01;8S4137;;M;0;0;0;0;0;0;0;0;2;3;0;0
01;4900-REBO;E;M;136,85046;0;0;0;0;0;91,53414;91,53414;0;23;0;0
01;4900-TER;E;M;0,1803;0;0;0;0;0;0;0;-126,94;154;0;0
01;10500019;E;M;27,40615;0;0;0;0;0;16,68109;16,68408;0;00000;0;0
01;4900-RE;E;M;46,9691;0;0;0;0;0;28,17245;28,17546;0;39;0;0
01;4900-CON-1;E;M;30,77182;0;0;0;0;0;18,45859;18,46007;0;39;0;0
01;4V8538;E;M;455,9999;0;0;0;0;0;305,01364;305,01364;0;2;0;0
01;6K0358;E;M;6,33467;0;0;0;0;0;1,351;1,35;0;2;0;0
01;1471740;E;M;85,20549;0;0;0;0;0;56,99398;56,99398;0;2;0;0
01;9K1758;E;M;85,20549;0;0;0;0;0;0;0;0;2;0;0
01;5M1176;E;M;66,85659;0;0;0;0;0;0;56,83;0;2;0;0
01;24073;;M;16,82834;0;0;0;0;0;11,25696;11,25696;0;2;0;0
01;3G7658;E;M;315,92;403,88614;315,92;156,25;0;0;0;95;0;2;0;0
01;4T6869;E;M;586,2813;0;0;0;0;0;392,1604;392,1604;0;2;0;0
01;4902-03;E;M;99,5276;0;0;0;0;0;72,12145;0;0;136;0;0
01;4K1557;01020401;M;8,66;7,22;8,66;0;8,66;0;0;0;0;3;0;0
01;1A9579;;M;0,43273;0;0;0;0;0;0;0,20405;0;2;0;0
01;5S9021;01050402;M;14,60459;0;0;0;0;0;9,76044;0;0;2;0;0
01;5S6297;E;M;71,22594;0;0;0;0;0;47,64223;0;0;2;0;0
01;1444079;;M;53,44801;44,54101;0;0;0;0;41,42175;0,249;0;3;0;0
01;4W0485;07050311;M;62,4;18,27;18,27;18,27;18,27;0;0;38,01;2;339;0;0
01;1852-103;E;M;21,21573;0;0;0;0;0;11,35042;5,67656;0;00001;0;0
01;4S7824;;M;24,89392;0;0;0;0;0;0;0;0;2;0;0
01;6L1124;;M;2,5543;0;0;0;0;0;0;0;0;2;0;0
